NAME,metropolitan statistical area/micropolitan statistical area,associates_degree,bachelors_degree,bachelors_plus_percent,doctorate_degree,edu_high_school_grad,edu_less_than_hs,edu_some_college,education_total,ged_or_alternative,grade_1,grade_10,grade_11,grade_12_no_diploma,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,high_school_diploma,kindergarten,masters_degree,no_schooling,nursery_school,professional_degree,some_college_1_or_more_years,some_college_less_1_year
"Carlsbad-Artesia, NM Micro Area",16100,3950,4972,19.82151362462711,314,27.289363515579957,15.692762778571609,37.19636008122133,39891,2203,0,976,609,930,73,123,162,142,740,130,419,1155,8683,42,2378,743,16,243,6680,4208
"Carroll, IA Micro Area",16140,1928,2504,23.396683037938644,137,38.59349419887537,4.9825610363726955,33.02726172681329,14049,354,0,120,121,135,0,3,0,1,19,39,208,37,5068,0,452,17,0,194,1535,1177
"Carson City, NV Metro Area",16180,4461,6595,24.50615380967061,348,27.278332424292728,10.906115867106168,37.3093978989305,42169,2223,13,741,809,1148,57,70,16,30,184,194,204,514,9280,26,2814,573,20,577,6765,4507
"Casper, WY Metro Area",16220,6754,9214,27.37014299893394,454,28.28180715362276,6.247472705216336,38.10057714222696,54406,3216,13,753,725,764,0,71,0,5,74,94,155,309,12171,0,4396,436,0,827,9037,4938
"Cedar City, UT Micro Area",16260,4099,6967,30.30623330103644,476,24.968437123814557,6.832261663583782,37.893067911565225,34059,1322,0,330,280,815,0,18,0,108,63,141,117,168,7182,0,2394,287,0,485,6034,2773
"Cedar Rapids, IA Metro Area",16300,26286,42034,32.77898212467891,1648,27.796150661160073,4.844639249753416,34.5802279644076,189591,7287,41,1491,2525,1741,13,0,31,60,99,155,787,954,45412,24,15167,1216,48,3297,24821,14454
"Cedartown, GA Micro Area",16340,2183,2550,14.469353106267974,230,40.407470288624786,17.875333495027892,27.247843110079344,28861,2401,147,898,854,639,142,60,37,84,234,180,473,843,9261,0,963,568,0,433,3857,1824
"Celina, OH Micro Area",16380,3477,3960,22.156245528687936,106,43.46830734010588,5.336958076978108,29.038489054228073,27956,815,1,440,226,379,16,0,6,0,22,0,63,206,11337,3,1750,130,0,378,2790,1851
"Centralia, IL Micro Area",16460,3057,3056,17.28968346103243,139,36.11175605603281,9.65869514743441,36.93986533550035,25842,1760,0,670,594,322,1,27,5,11,47,42,258,315,7572,0,1075,200,4,198,4048,2441
"Centralia, WA Micro Area",16500,6900,7997,20.150599392259657,284,31.565766186930244,9.635355795238254,38.64827862557184,59894,3512,0,892,1159,1153,80,187,114,35,232,54,526,590,15394,11,3237,715,23,551,10206,6042
"Chambersburg, PA Metro Area",16540,8840,15824,23.952404650952356,1337,43.32534045152242,9.335384336967833,23.38687056055739,110515,5390,20,2071,2512,1289,11,0,10,86,167,251,1245,1487,42491,5,8018,1142,21,1292,9987,7019
"Champaign-Urbana, IL Metro Area",16580,12752,28948,43.545382704899524,8280,24.156835628810114,4.999717769248138,27.298063897042223,141728,5050,15,1116,1569,1505,14,56,24,13,480,191,406,509,29187,11,20890,1159,18,3598,16309,9628
"Charleston, WV Metro Area",16620,11726,23636,26.868378416220505,1804,37.86895848196129,10.105145249794976,25.157517852023233,149983,8966,12,3405,2865,2247,18,87,46,95,293,533,2022,2150,47831,37,10715,1346,0,4143,16667,9339
"Charleston-Mattoon, IL Micro Area",16660,3637,5034,27.14431866935085,423,30.71845813669516,8.504669812877463,33.63255338107653,30301,1616,0,555,927,236,30,18,0,0,0,42,292,118,7692,0,2401,359,0,367,4236,2318
"Charleston-North Charleston, SC Metro Area",16700,52902,142278,39.95005563976973,9012,22.86785773743286,8.073812507119262,29.108274115678146,570635,21670,50,8220,7050,9815,534,612,280,722,2018,1661,2491,5720,108822,77,60806,6780,42,15873,78518,34682
"Charlotte-Concord-Gastonia, NC-SC Metro Area",16740,175315,469692,38.995287026064744,19945,22.58369451704192,9.571774101910622,28.849244354982712,1848090,66669,425,27138,25964,27598,1743,2825,2235,4986,15569,5986,12299,21705,350698,387,192318,27657,378,38713,248654,109191
"Charlottesville, VA Metro Area",16820,10024,40896,52.244652790472955,7962,18.916324984983415,6.8266694523517275,22.0123527721919,153164,4544,11,1606,1787,2081,0,91,160,124,567,682,668,1111,24429,33,24918,1533,2,6244,15374,8317
"Chattanooga, TN-GA Metro Area",16860,34448,79058,31.33588023743451,5359,27.272863027165595,10.544929628293035,30.84632710710686,401795,21490,16,7467,7775,6366,196,748,383,687,1719,1789,3961,5388,88091,0,33576,5783,91,7913,60968,28523
"Cheyenne, WY Metro Area",16940,9492,13646,32.04091997388087,555,24.199376042951464,5.5241964739171445,38.235507509250525,68915,3518,1,498,926,799,34,73,47,33,236,145,252,289,13159,17,6523,450,7,1357,10709,6149
"Chicago-Naperville-Elgin, IL-IN Metro Area",16980,468007,1571320,40.88939774297059,105309,23.151780358645983,10.316422050729505,25.642399847653923,6448476,200415,2509,64558,77685,131451,6361,13675,9551,13810,81399,14453,63490,50078,1292522,2009,777831,132448,1775,182283,798179,387358
"Chico, CA Metro Area",17020,14745,28185,31.720564273446563,2193,22.25753416614066,9.672944526811797,36.34895703360099,136246,4969,61,1683,2194,3186,37,384,197,152,769,162,675,1074,25356,62,9610,2511,32,3230,23277,11502
"Chillicothe, OH Micro Area",17060,4036,6020,17.10579280565009,254,45.04336370622462,11.093424086068723,26.757419402056577,54654,3189,20,1110,1544,1069,14,10,0,120,119,208,463,743,21429,6,2549,637,0,526,6484,4104
"Cincinnati, OH-KY-IN Metro Area",17140,130521,345663,36.878839187273584,24540,28.836037171208062,7.729891846485011,26.55523179503334,1523760,61289,195,20298,23112,24956,279,1318,795,1690,3386,3229,9828,12917,378103,291,158043,15157,334,33699,179189,94928
"Clarksburg, WV Micro Area",17220,4731,9219,23.101932127817687,419,39.29279167698787,12.224424077285112,25.380852117909335,64592,4276,3,2036,2106,787,2,3,0,67,32,203,717,1329,21104,14,4233,586,11,1051,7818,3845
"Clarksdale, MS Micro Area",17260,1648,1477,18.973146170277694,73,26.869087580103752,18.02715898687824,36.13060726274031,13108,962,7,524,309,247,1,33,16,32,218,122,290,266,2560,0,771,298,0,166,2264,824
"Clarksville, TN-KY Metro Area",17300,22869,35608,28.009914667241432,2195,29.488787216741287,7.727464216084883,34.7738338999324,204142,9489,12,2316,3111,2876,49,70,37,189,376,409,2544,1512,50710,75,16680,2155,44,2697,32393,15726
"Clearlake, CA Micro Area",17340,5866,5743,17.743946050883824,288,28.838254827832838,12.91509144783897,40.50270767344436,48935,2522,44,494,1394,1646,94,339,0,188,299,106,509,453,11590,0,1843,717,37,809,9717,4237
"Cleveland, MS Micro Area",17380,2203,3087,26.551357912304656,274,24.87735801345269,16.76022859454812,31.811055479694534,19773,1124,6,589,573,384,0,95,0,30,252,284,415,456,3795,0,1356,216,14,533,2889,1198
"Cleveland, OH Metro Area",17410,135222,308055,33.44230804151632,21533,29.03820362294967,8.328750385875528,29.190737949658484,1541948,56387,148,21046,28633,27119,415,1027,1011,1208,2478,2202,13499,11943,391367,212,147649,17212,272,38426,200890,113994
"Cleveland, TN Metro Area",17420,8791,12543,23.17024864473342,1099,31.893751626885773,12.0010412068946,32.93495852148621,88359,6787,0,1761,1814,1667,27,159,99,194,410,428,1598,1503,21394,1,5642,933,10,1189,13258,7052
"Clewiston, FL Micro Area",17500,3204,3107,11.259776536312849,116,34.96648044692737,29.72905027932961,24.044692737430168,35800,1907,84,1171,1417,956,84,449,54,294,1702,444,733,1686,10611,82,596,1487,0,212,3408,1996
"Clinton, IA Micro Area",17540,4158,5035,22.09948180097434,321,36.205666056412326,7.335464051881963,34.35938809073137,32227,1771,0,444,610,415,0,18,10,0,29,12,199,380,9897,20,1353,227,0,413,3992,2923
"Clovis, NM Micro Area",17580,3685,5138,21.30658184487399,360,27.372155615365795,16.82162955713237,34.499632982627844,40870,1987,0,842,1141,1061,20,126,182,217,795,212,431,830,9200,3,2926,1015,0,284,7218,3197
"Coamo, PR Micro Area",17620,3748,7890,24.89013580951908,504,38.26998038582814,17.719790451125952,19.120093353526826,40277,591,70,571,580,231,101,450,637,374,978,635,659,1066,14823,0,1537,772,13,94,3605,348
"Coco, PR Micro Area",17640,1688,2853,19.345027969369465,61,40.24330635963722,21.20241133981426,19.209254331179057,18413,224,74,278,375,116,184,264,248,91,407,389,321,745,7186,19,608,393,0,40,1732,117
"Cody, WY Micro Area",17650,3245,4903,34.95593595718175,461,23.85456558852028,4.1895445946569465,36.999953859641025,21673,792,0,176,196,295,0,0,0,0,57,0,98,78,4378,0,1711,3,5,501,3318,1456
"Coeur d'Alene, ID Metro Area",17660,14268,23688,28.759579311892775,1507,26.572770705742776,5.634559271491327,39.03309071087312,124748,6820,0,1322,1652,1675,36,9,79,0,76,165,559,405,26329,19,8445,1003,29,2237,23806,10619
"Coldwater, MI Micro Area",17740,2992,3708,16.896051571313457,132,38.994359387590656,11.352135374697825,32.75745366639807,31025,1975,0,457,570,509,0,0,4,28,54,134,1022,177,10123,14,1195,537,16,207,4301,2870
