NAME,metropolitan statistical area/micropolitan statistical area,labor_force_total,total_unemployed,unemployment_rate
"Riverton, WY Micro Area",40180,30846,1502,4.869350969331518
"Roanoke, VA Metro Area",40220,257578,5683,2.2063219684910975
"Roanoke Rapids, NC Micro Area",40260,53793,2193,4.07673860911271
"Rochelle, IL Micro Area",40300,41396,1396,3.3723065030437724
"Rochester, MN Metro Area",40340,178705,4168,2.332335413110993
"Rochester, NY Metro Area",40380,870619,26383,3.030372642912686
"Rockford, IL Metro Area",40420,266466,12214,4.5836992336733395
"Rockingham, NC Micro Area",40460,34049,1863,5.471526329701313
"Rock Springs, WY Micro Area",40540,32411,1254,3.8690568017031253
"Rocky Mount, NC Metro Area",40580,115898,4609,3.9767726794250113
"Rolla, MO Micro Area",40620,36396,868,2.3848774590614354
"Rome, GA Metro Area",40660,78855,1978,2.5084014964174752
"Roseburg, OR Micro Area",40700,93077,2724,2.9266091515626846
"Roswell, NM Micro Area",40740,50258,1576,3.1358191730669747
"Ruidoso, NM Micro Area",40760,17235,529,3.069335654192051
"Russellville, AL Micro Area",40770,24865,501,2.01488035391112
"Russellville, AR Micro Area",40780,66814,1683,2.5189331577214356
"Ruston, LA Micro Area",40820,39611,891,2.2493751735628993
"Rutland, VT Micro Area",40860,51306,1235,2.4071258722176743
"Sacramento-Roseville-Folsom, CA Metro Area",40900,1930890,70987,3.676387572570162
"Safford, AZ Micro Area",40940,29716,955,3.213756898640463
"Saginaw, MI Metro Area",40980,153577,5792,3.7713980609075577
"St. Cloud, MN Metro Area",41060,157967,4705,2.9784701868111694
"St. George, UT Metro Area",41100,148399,2822,1.9016300648926205
"St. Joseph, MO-KS Metro Area",41140,97434,2325,2.386230679229017
"St. Louis, MO-IL Metro Area",41180,2265111,61136,2.6990288776135034
"St. Marys, PA Micro Area",41260,25642,986,3.8452538803525464
"Salem, OH Micro Area",41400,83431,2323,2.7843367573204203
"Salem, OR Metro Area",41420,345266,10921,3.163068474741214
"Salina, KS Micro Area",41460,47484,1124,2.3671131328447474
"Salinas, CA Metro Area",41500,335220,10068,3.0034007517451227
"Salisbury, MD Metro Area",41540,104425,4082,3.909025616471151
"Salt Lake City-Murray, UT Metro Area",41620,969920,25612,2.640630155064335
"San Angelo, TX Metro Area",41660,95154,1770,1.8601425058326502
"San Antonio-New Braunfels, TX Metro Area",41700,2045008,67529,3.302138671340161
"San Diego-Chula Vista-Carlsbad, CA Metro Area",41740,2666773,104758,3.928268360299133
"Sandpoint, ID Micro Area",41760,41034,826,2.0129648584100988
"Sandusky, OH Metro Area",41780,95804,2899,3.025969688113231
"Sanford, NC Micro Area",41820,50932,1237,2.428728500746093
"San Francisco-Oakland-Fremont, CA Metro Area",41860,3859448,138635,3.5920939989345624
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",41940,1603986,48706,3.0365601694777884
"San Juan-Bayamón-Caguas, PR Metro Area",41980,1769081,97580,5.515858233738308
"San Luis Obispo-Paso Robles, CA Metro Area",42020,237780,7005,2.9460005046681803
"Santa Cruz-Watsonville, CA Metro Area",42100,222454,7922,3.5611856833322846
"Santa Fe, NM Metro Area",42140,133211,4114,3.088333546028481
"Santa Maria-Santa Barbara, CA Metro Area",42200,355877,13563,3.8111482337998805
"Santa Rosa-Petaluma, CA Metro Area",42220,403474,13476,3.3399921680207396
"Sault Ste. Marie, MI Micro Area",42300,30621,1004,3.2787955977923646
"Savannah, GA Metro Area",42340,328280,11806,3.5963202144510786
"Sayre, PA Micro Area",42380,48447,1487,3.069333498462237
"Scottsbluff, NE Micro Area",42420,28827,619,2.1472924688659933
"Scottsboro, AL Micro Area",42460,43210,1197,2.770192085165471
"Scranton--Wilkes-Barre, PA Metro Area",42540,466807,14940,3.2004661455376637
"Seaford, DE Micro Area",42580,207262,5743,2.770889019694879
"Searcy, AR Micro Area",42620,61601,1748,2.8376162724631095
"Seattle-Tacoma-Bellevue, WA Metro Area",42660,3265786,102267,3.131466666829976
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",42680,142174,3614,2.541955631831418
"Sebring, FL Metro Area",42700,88485,2224,2.513420353732271
"Sedalia, MO Micro Area",42740,33600,850,2.5297619047619047
"Selinsgrove, PA Micro Area",42780,32589,462,1.4176562643836879
"Selma, AL Micro Area",42820,29643,1699,5.731538643187262
"Seneca, SC Micro Area",42860,66246,2104,3.1760408175587957
"Seneca Falls, NY Micro Area",42900,27062,727,2.686423767644668
"Sevierville, TN Micro Area",42940,80343,1687,2.0997473333084398
"Seymour, IN Micro Area",42980,35870,715,1.9933091720100362
"Shawano, WI Micro Area",43020,36517,845,2.313990744037024
"Shawnee, OK Micro Area",43060,58183,1704,2.928690510973996
"Sheboygan, WI Metro Area",43100,95291,1490,1.5636314027557692
"Shelby-Kings Mountain, NC Micro Area",43140,80339,2692,3.3508009808436747
"Shelbyville, TN Micro Area",43180,39942,1008,2.5236593059936907
"Shelton, WA Micro Area",43220,55467,1842,3.3208935042457677
"Sheridan, WY Micro Area",43260,25572,430,1.6815266697950884
"Sherman-Denison, TX Metro Area",43300,109958,2442,2.220847960130232
"Show Low, AZ Micro Area",43320,83166,3317,3.9884087247192364
"Shreveport-Bossier City, LA Metro Area",43340,306369,12537,4.092124203166769
"Sidney, OH Micro Area",43380,37677,1142,3.0310268864293866
"Sierra Vista-Douglas, AZ Metro Area",43420,102221,3392,3.3183005448978196
"Sikeston, MO Micro Area",43460,39451,749,1.8985577044941828
"Silver City, NM Micro Area",43500,23598,886,3.7545554708026105
"Sioux City, IA-NE-SD Metro Area",43580,110414,3144,2.8474649953810207
"Sioux Falls, SD-MN Metro Area",43620,225209,3457,1.5350185827387004
"Slidell-Mandeville-Covington, LA Metro Area",43640,212894,6352,2.983644442774338
"Snyder, TX Micro Area",43660,12977,145,1.117361485705479
