NAME,metropolitan statistical area/micropolitan statistical area,median_age,median_income,median_rent,population
"Decatur, AL Metro Area",19460,40.8,63987,816,156924
"Decatur, IL Metro Area",19500,40.9,62449,797,102591
"Decatur, IN Micro Area",19540,33.2,63128,799,35995
"Defiance, OH Micro Area",19580,40.8,73615,826,38258
"Del Rio, TX Micro Area",19620,32.3,59673,956,47647
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",19660,47.8,67599,1407,689939
"Deming, NM Micro Area",19700,36.6,37917,685,25420
"Denver-Aurora-Centennial, CO Metro Area",19740,37.2,102339,1805,2977085
"DeRidder, LA Micro Area",19760,36.9,64995,882,36646
"Des Moines-West Des Moines, IA Metro Area",19780,36.7,84209,1113,720331
"Detroit Lakes, MN Micro Area",19810,43.2,71117,899,35260
"Detroit-Warren-Dearborn, MI Metro Area",19820,40.2,75123,1162,4367620
"Dickinson, ND Micro Area",19860,35.1,82133,962,38107
"Dixon, IL Micro Area",19940,43.0,68459,853,34058
"Dodge City, KS Micro Area",19980,31.9,70495,960,34133
"Dothan, AL Metro Area",20020,41.4,56772,878,151804
"Douglas, GA Micro Area",20060,36.5,48038,697,51422
"Dover, DE Metro Area",20100,38.5,72872,1285,185043
"Dublin, GA Micro Area",20140,41.1,50316,757,58811
"DuBois, PA Micro Area",20180,45.6,60181,788,78902
"Dubuque, IA Metro Area",20220,38.8,75919,944,98948
"Duluth, MN-WI Metro Area",20260,41.6,71067,959,280710
"Dumas, TX Micro Area",20300,30.6,61325,894,21234
"Duncan, OK Micro Area",20340,40.9,60236,865,43314
"Durango, CO Micro Area",20420,42.3,85296,1409,56088
"Durant, OK Micro Area",20460,36.8,54280,914,47237
"Durham-Chapel Hill, NC Metro Area",20500,37.6,81017,1374,594291
"Dyersburg, TN Micro Area",20540,40.0,54973,760,36681
"Eagle Pass, TX Metro Area",20580,30.2,51270,789,57770
"Easton, MD Micro Area",20660,51.1,84378,1248,37707
"East Stroudsburg, PA Micro Area",20700,43.9,82374,1347,167784
"Eau Claire, WI Metro Area",20740,38.2,72513,974,172886
"Edwards, CO Micro Area",20780,39.3,103174,2032,55374
"Effingham, IL Micro Area",20820,40.0,74219,740,44883
"El Campo, TX Micro Area",20900,38.4,66100,986,41651
"El Centro, CA Metro Area",20940,33.0,56393,1012,179319
"El Dorado, AR Micro Area",20980,41.5,50221,825,38368
"Elizabeth City, NC Micro Area",21020,39.0,63912,1146,40830
"Elizabethtown, KY Metro Area",21060,37.8,67630,935,126480
"Elk City, OK Micro Area",21120,37.1,52323,821,22202
"Elkhart-Goshen, IN Metro Area",21140,35.5,65617,1023,206868
"Elkins, WV Micro Area",21180,44.2,55057,807,27782
"Elko, NV Micro Area",21220,35.7,83305,1122,55512
"Ellensburg, WA Micro Area",21260,37.9,69928,1253,44736
"Elmira, NY Metro Area",21300,41.9,63469,1020,82805
"El Paso, TX Metro Area",21340,33.3,58800,1045,869606
"Emporia, KS Micro Area",21380,34.0,58788,796,34724
"Enid, OK Metro Area",21420,35.7,67302,915,62322
"Enterprise, AL Micro Area",21460,38.8,64672,970,54231
"Erie, PA Metro Area",21500,40.1,61476,876,269544
"Escanaba, MI Micro Area",21540,47.8,54829,698,36829
"Española, NM Micro Area",21580,42.4,53901,760,40165
"Eufaula, AL-GA Micro Area",21640,41.7,43740,647,26849
"Eugene-Springfield, OR Metro Area",21660,40.2,69311,1287,382628
"Eureka-Arcata, CA Micro Area",21700,39.6,61135,1249,135418
"Evanston, WY-UT Micro Area",21740,36.8,81526,876,23193
"Evansville, IN Metro Area",21780,39.9,67671,963,269721
"Fairbanks-College, AK Metro Area",21820,32.4,84722,1424,95555
"Fairmont, MN Micro Area",21860,44.5,62969,735,19864
"Fairmont, WV Micro Area",21900,40.4,67537,901,56042
"Fallon, NV Micro Area",21980,39.8,73268,1203,25614
"Fargo, ND-MN Metro Area",22020,33.0,75523,940,254914
"Faribault-Northfield, MN Micro Area",22060,37.1,82792,1046,67389
"Farmington, MO Micro Area",22100,39.2,54813,786,66864
"Farmington, NM Metro Area",22140,38.0,53020,917,121178
"Fayetteville, NC Metro Area",22180,32.1,58909,1150,389851
"Fayetteville, TN Micro Area",22190,43.0,63115,782,35617
"Fayetteville-Springdale-Rogers, AR Metro Area",22220,34.6,77979,1094,563436
"Fergus Falls, MN Micro Area",22260,46.3,70912,805,60281
"Findlay, OH Micro Area",22300,39.6,69699,926,74885
"Fitzgerald, GA Micro Area",22340,38.5,39081,692,17138
"Flagstaff, AZ Metro Area",22380,32.4,69748,1406,144643
"Flint, MI Metro Area",22420,40.6,60673,936,404087
"Florence, SC Metro Area",22500,39.9,53874,898,199675
"Florence-Muscle Shoals, AL Metro Area",22520,41.3,58049,813,152685
"Fond du Lac, WI Metro Area",22540,41.9,73154,926,104053
"Forest City, NC Micro Area",22580,45.3,49771,748,64850
"Forrest City, AR Micro Area",22620,39.7,41784,791,22740
"Fort Collins-Loveland, CO Metro Area",22660,36.6,91364,1677,363561
"Fort Dodge, IA Micro Area",22700,39.8,68054,762,36848
"Fort Leonard Wood, MO Micro Area",22780,27.5,66435,1072,53850
"Fort Madison, IA Micro Area",22800,43.7,59803,814,33175
"Fort Morgan, CO Micro Area",22820,36.9,75407,1092,29186
"Fort Payne, AL Micro Area",22840,39.6,51149,683,71946
"Fort Smith, AR-OK Metro Area",22900,38.7,56717,841,228916
"Fort Wayne, IN Metro Area",23060,36.8,69378,963,451440
"Frankfort, IN Micro Area",23140,36.5,63690,915,32967
"Frankfort, KY Micro Area",23180,41.2,68277,922,75661
"Franklin, KY Micro Area",23190,39.0,57392,1011,19786
"Fredericksburg, TX Micro Area",23240,50.5,67799,1331,27202
"Freeport, IL Micro Area",23300,45.2,61943,764,44042
"Fremont, NE Micro Area",23340,38.9,71294,985,37146
"Fremont, OH Micro Area",23380,42.5,62500,786,58770
"Fresno, CA Metro Area",23420,33.4,71897,1301,1170942
"Gadsden, AL Metro Area",23460,41.8,53070,807,103208
"Gaffney, SC Micro Area",23500,40.3,49047,813,56299
"Gainesville, FL Metro Area",23540,34.3,58946,1219,344521
"Gainesville, GA Metro Area",23580,38.2,77430,1247,208395
"Gainesville, TX Micro Area",23620,40.3,72472,1088,42473
"Galesburg, IL Micro Area",23660,42.4,53291,725,49294
"Gallipolis, OH Micro Area",23680,41.3,56455,798,29162
"Gallup, NM Micro Area",23700,34.1,44496,810,71172
"Garden City, KS Micro Area",23780,32.1,72437,991,38001
"Gardnerville Ranchos, NV-CA Micro Area",23820,53.9,88659,1544,51319
"Gettysburg, PA Metro Area",23900,43.8,81071,1084,105183
"Gillette, WY Micro Area",23940,35.8,95253,952,47018
"Glasgow, KY Micro Area",23980,40.4,49004,760,55042
"Glens Falls, NY Metro Area",24020,45.8,74953,1053,126443
"Gloversville, NY Micro Area",24100,44.1,62615,883,52787
"Goldsboro, NC Metro Area",24140,37.4,58082,932,117606
"Granbury, TX Micro Area",24180,46.3,86802,1414,64198
"Grand Forks, ND-MN Metro Area",24220,33.1,68653,947,103669
"Grand Island, NE Metro Area",24260,37.0,67397,896,76619
"Grand Junction, CO Metro Area",24300,40.8,71485,1154,157316
"Grand Rapids, MN Micro Area",24330,46.9,66380,944,45141
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",24340,36.6,80296,1138,1154320
"Grants Pass, OR Metro Area",24420,47.5,59097,1157,88069
"Great Bend, KS Micro Area",24460,38.8,56733,742,25275
"Great Falls, MT Metro Area",24500,38.3,66203,902,84601
"Greeley, CO Metro Area",24540,35.2,93287,1469,340711
"Green Bay, WI Metro Area",24580,39.2,77459,959,329375
"Greencastle, IN Micro Area",24600,38.4,76182,883,37091
"Greeneville, TN Micro Area",24620,44.6,54071,713,70919
"Greenfield, MA Micro Area",24640,47.3,72584,1169,70922
"Greensboro-High Point, NC Metro Area",24660,38.9,63083,1045,779894
"Greensburg, IN Micro Area",24700,40.4,74228,828,26411
"Greenville, MS Micro Area",24740,38.3,40117,786,43674
