NAME,population,median_income,median_rent,median_age,metropolitan statistical area/micropolitan statistical area,unemployment_rate,bachelors_plus_percent,edu_less_than_hs,edu_high_school_grad,edu_some_college
"Decatur, IL Metro Area",102591,62449,797,,19500,,,,,
"Decatur, IN Micro Area",35995,63128,799,,19540,,,,,
"Defiance, OH Micro Area",38258,73615,826,,19580,,,,,
"Del Rio, TX Micro Area",47647,59673,956,,19620,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",689939,67599,1407,,19660,,,,,
"Deming, NM Micro Area",25420,37917,685,,19700,,,,,
"Denver-Aurora-Centennial, CO Metro Area",2977085,102339,1805,,19740,,,,,
"DeRidder, LA Micro Area",36646,64995,882,,19760,,,,,
"Des Moines-West Des Moines, IA Metro Area",720331,84209,1113,,19780,,,,,
"Detroit Lakes, MN Micro Area",35260,71117,899,,19810,,,,,
"Detroit-Warren-Dearborn, MI Metro Area",4367620,75123,1162,,19820,,,,,
"Dickinson, ND Micro Area",38107,82133,962,,19860,,,,,
"Dixon, IL Micro Area",34058,68459,853,,19940,,,,,
"Dodge City, KS Micro Area",34133,70495,960,,19980,,,,,
"Dothan, AL Metro Area",151804,56772,878,,20020,,,,,
"Douglas, GA Micro Area",51422,48038,697,,20060,,,,,
"Dover, DE Metro Area",185043,72872,1285,,20100,,,,,
"Dublin, GA Micro Area",58811,50316,757,,20140,,,,,
"DuBois, PA Micro Area",78902,60181,788,,20180,,,,,
"Dubuque, IA Metro Area",98948,75919,944,,20220,,,,,
"Duluth, MN-WI Metro Area",280710,71067,959,,20260,,,,,
"Dumas, TX Micro Area",21234,61325,894,,20300,,,,,
"Duncan, OK Micro Area",43314,60236,865,,20340,,,,,
"Durango, CO Micro Area",56088,85296,1409,,20420,,,,,
"Durant, OK Micro Area",47237,54280,914,,20460,,,,,
"Durham-Chapel Hill, NC Metro Area",594291,81017,1374,,20500,,,,,
"Dyersburg, TN Micro Area",36681,54973,760,,20540,,,,,
"Eagle Pass, TX Metro Area",57770,51270,789,,20580,,,,,
"Easton, MD Micro Area",37707,84378,1248,,20660,,,,,
"East Stroudsburg, PA Micro Area",167784,82374,1347,,20700,,,,,
"Eau Claire, WI Metro Area",172886,72513,974,,20740,,,,,
"Edwards, CO Micro Area",55374,103174,2032,,20780,,,,,
"Effingham, IL Micro Area",44883,74219,740,,20820,,,,,
"El Campo, TX Micro Area",41651,66100,986,,20900,,,,,
"El Centro, CA Metro Area",179319,56393,1012,,20940,,,,,
"El Dorado, AR Micro Area",38368,50221,825,,20980,,,,,
"Elizabeth City, NC Micro Area",40830,63912,1146,,21020,,,,,
"Elizabethtown, KY Metro Area",126480,67630,935,,21060,,,,,
"Elk City, OK Micro Area",22202,52323,821,,21120,,,,,
"Elkhart-Goshen, IN Metro Area",206868,65617,1023,,21140,,,,,
"Elkins, WV Micro Area",27782,55057,807,,21180,,,,,
"Elko, NV Micro Area",55512,83305,1122,,21220,,,,,
"Ellensburg, WA Micro Area",44736,69928,1253,,21260,,,,,
"Elmira, NY Metro Area",82805,63469,1020,,21300,,,,,
"El Paso, TX Metro Area",869606,58800,1045,,21340,,,,,
"Emporia, KS Micro Area",34724,58788,796,,21380,,,,,
"Enid, OK Metro Area",62322,67302,915,,21420,,,,,
"Enterprise, AL Micro Area",54231,64672,970,,21460,,,,,
"Erie, PA Metro Area",269544,61476,876,,21500,,,,,
"Escanaba, MI Micro Area",36829,54829,698,,21540,,,,,
"Española, NM Micro Area",40165,53901,760,,21580,,,,,
"Eufaula, AL-GA Micro Area",26849,43740,647,,21640,,,,,
"Eugene-Springfield, OR Metro Area",382628,69311,1287,,21660,,,,,
"Eureka-Arcata, CA Micro Area",135418,61135,1249,,21700,,,,,
"Evanston, WY-UT Micro Area",23193,81526,876,,21740,,,,,
"Evansville, IN Metro Area",269721,67671,963,,21780,,,,,
"Fairbanks-College, AK Metro Area",95555,84722,1424,,21820,,,,,
"Fairmont, MN Micro Area",19864,62969,735,,21860,,,,,
"Fairmont, WV Micro Area",56042,67537,901,,21900,,,,,
"Fallon, NV Micro Area",25614,73268,1203,,21980,,,,,
"Fargo, ND-MN Metro Area",254914,75523,940,,22020,,,,,
"Faribault-Northfield, MN Micro Area",67389,82792,1046,,22060,,,,,
"Farmington, MO Micro Area",66864,54813,786,,22100,,,,,
"Farmington, NM Metro Area",121178,53020,917,,22140,,,,,
"Fayetteville, NC Metro Area",389851,58909,1150,,22180,,,,,
"Fayetteville, TN Micro Area",35617,63115,782,,22190,,,,,
"Fayetteville-Springdale-Rogers, AR Metro Area",563436,77979,1094,,22220,,,,,
"Fergus Falls, MN Micro Area",60281,70912,805,,22260,,,,,
"Findlay, OH Micro Area",74885,69699,926,,22300,,,,,
"Fitzgerald, GA Micro Area",17138,39081,692,,22340,,,,,
"Flagstaff, AZ Metro Area",144643,69748,1406,,22380,,,,,
"Flint, MI Metro Area",404087,60673,936,,22420,,,,,
"Florence, SC Metro Area",199675,53874,898,,22500,,,,,
"Florence-Muscle Shoals, AL Metro Area",152685,58049,813,,22520,,,,,
"Fond du Lac, WI Metro Area",104053,73154,926,,22540,,,,,
"Forest City, NC Micro Area",64850,49771,748,,22580,,,,,
"Forrest City, AR Micro Area",22740,41784,791,,22620,,,,,
"Fort Collins-Loveland, CO Metro Area",363561,91364,1677,,22660,,,,,
"Fort Dodge, IA Micro Area",36848,68054,762,,22700,,,,,
"Fort Leonard Wood, MO Micro Area",53850,66435,1072,,22780,,,,,
"Fort Madison, IA Micro Area",33175,59803,814,,22800,,,,,
"Fort Morgan, CO Micro Area",29186,75407,1092,,22820,,,,,
"Fort Payne, AL Micro Area",71946,51149,683,,22840,,,,,
